"Код","Наименование полное","Ед.изм"
"НФ-00043093","Заслонка VKZ(G) Ex 500x1300 BLE230","шт"
"НФ-00003500"," Диффузор ДИН 630","шт"
"НФ-00052318"," Клапан КЛОП-2(60)-НО-Нп-Ф160-MB/S(220)-К","шт"
"НФ-00046590"," КПС-1м(60)-НО-MB(220)-450x350","шт"
"54473","Решетка щелевая 1 АВС 1000+ Б","шт"
"НФ-00002736","Решетка 1 АВС 1000 + Б + 2 КСР М","шт"
"НФ-00004059","Решетка 1 АРС 1000 + Б","шт"
"НФ-00004057","Решетка 1 АРС 2000 + Б","шт"
"НФ-00004058","Решетка 1 АРС 500 + Б","шт"
"68807","Решетка 1 АРС 600 + Б+2 КСД М","шт"
"НФ-00013080","Воздухораспределитель 1 ВПТ Р 595*595 М","шт"
"НФ-00002767","Решетка 1 РВВ 400*900","шт"
"НФ-00004961","Решетка 1 УМН 150*150","шт"
"62607","Панель Чернобережского 1000х500, ф250","шт"
"76571","Панель Чернобережского 1100х1800, ф280","шт"
"62917","Панель Чернобережского 1200х600, ф250","шт"
"54883","Воздухораспределитель 1ССПР-300х300","шт"
"70330","Решетка щелевая 2 АВС 1000+ 2 КДС М","шт"
"54474","Решетка щелевая 2 АВС 1000+ Б","шт"
"69524","Решетка щелевая 2 АВС 1500+ Б+2 КСД М","шт"
"69525","Решетка щелевая 2 АВС 2000+ Б+2 КСД М","шт"
"70329","2 АРС 1000+2 КСД М","шт"
"68816","Решетка 2 АРС 2000 + Б","шт"
"68809","Решетка 2 АРС 500 + Б+2 КСД М","шт"
"70328","2 АРС 500+2 КСД М","шт"
"56481","Воздухораспределитель 2 ВНЛ 200 Н","шт"
"56482","Воздухораспределитель 2 ВНЛ 250 Н","шт"
"54312","Решетка 3 АВС 1000+ Б","шт"
"54316","Решетка 3 АВС 1000+ Б + 2 КСР М","шт"
"54317","Решетка 3 АВС 1500+ Б","шт"
"54321","Решетка 3 АВС 1500+ Б + 2 КСД М","шт"
"54318","Решетка 3 АВС 1500+ Б + 2 КСР М","шт"
"54319","Решетка 3 АВС 2000+ Б + 2 КСР М","шт"
"54320","Решетка 3 АВС 500+ Б","шт"
"000002875","Потолочная решетка 3 АПН 450х450","шт"
"60509","Алюминиевая потолочная решетка 3АПН+3КСД 450х450","шт"
"45803","Решетка 4 АЛС 1300+Б","шт"
"53559","Решетка 4 АЛС 1500+Б","шт"
"53558","Решетка 4 АЛС 1500+КСД","шт"
"45804","Решетка 4 АЛС 1800+Б","шт"
"45805","Решетка 4 АЛС 500+Б","шт"
"45806","Решетка 4 АЛС 700+Б","шт"
"45807","Решетка 4 АЛС 900+Б","шт"
"000016736","Потолочная решетка 4 АПН 300х300","шт"
"000002874","Потолочная решетка 4 АПН 450х450","шт"
"000016104","Потолочная решетка 4 АПН 600х600","шт"
"42069","Потолочная решетка 4 АПР 300х300","шт"
"66626","Потолочная решетка 4 АПР 450х450","шт"
"69235","Потолочная решетка 4 АПР 600х600","шт"
"НФ-00047732","Решетка 4 АРС 1000+Б+2 КСД М","шт"
"НФ-00051480","Решетка 4 АРС 1000+Б+К","шт"
"65810","Панель Чернобережского 400х360, ф160","шт"
"77605","Панель Чернобережского 400х950, ф315","шт"
"000001855","Алюминиевая потолочная решетка 4АПН 300х300","шт"
"54278","Алюминиевая потолочная решетка 4АПН+3КСД 300х300","шт"
"51556","Алюминиевая потолочная решетка 4АПН+3КСР 300х300","шт"
